query_id,sql_file,description,sample_questions
q01_total_revenue,queries/q01_total_revenue.sql,"Total revenue (net sales after discounts), total number of orders and total units sold across the entire order history of the company.","What are our total sales of all time?|How much revenue has the company made overall?|How many orders have we received in total?"
q02_sales_last_month,queries/q02_sales_last_month.sql,"Total sales, number of orders and units sold in the last month (the most recent complete calendar month in the data).","What were total sales last month?|How much did we sell in the previous month?|How many orders did we get last month?"
q03_sales_by_year,queries/q03_sales_by_year.sql,"Yearly (annual) sales trend over all years: number of orders and total revenue for each calendar year.","How have sales changed year over year?|Show revenue by year|Which year had the highest sales?"
q04_top_customers,queries/q04_top_customers.sql,"Top 10 customers ranked by the total amount of money they spent, with their country and number of orders.","Which customer spent the most?|Who are our best customers?|List the biggest buyers by spend"
q05_top_products_by_revenue,queries/q05_top_products_by_revenue.sql,"Top 10 products ranked by the revenue (sales amount in dollars) they generated, with category and units sold.","Which products bring in the most money?|What are the highest revenue products?|Top products by sales value"
q06_top_products_by_quantity,queries/q06_top_products_by_quantity.sql,"Top 10 best-selling products ranked by number of units (quantity) sold, i.e. the products customers order most often.","What are the best-selling products by quantity?|Which product sold the most units?|Most popular products by volume"
q07_sales_by_category,queries/q07_sales_by_category.sql,"Revenue and units sold for each product category, including each category's percentage share of total revenue.","Which product category sells the most?|Show sales by category|What share of revenue does each category make up?"
q08_employee_performance,queries/q08_employee_performance.sql,"Sales performance of each employee or sales representative: number of orders handled and revenue generated.","Which employee generated the most sales?|Who is the top salesperson?|How are the sales reps performing?"
q09_sales_by_country,queries/q09_sales_by_country.sql,"Number of orders and revenue by country the orders were shipped to: which countries we sell to the most (geographic sales breakdown).","Which country generates the most revenue?|Show sales by country|Where do most of our orders go?"
q10_shipper_performance,queries/q10_shipper_performance.sql,"Comparison of shipping companies (carriers): orders shipped, average freight cost, average days to ship and percentage of late deliveries per shipper.","Which shipping company is the fastest?|Compare the shippers|Which carrier has the lowest freight cost?"
q11_late_shipments,queries/q11_late_shipments.sql,"How many orders were shipped late (after the required date), the percentage of late orders and the average number of days late.","How many orders were delivered late?|What percentage of shipments missed the required date?|Are we shipping on time?"
q12_low_stock_products,queries/q12_low_stock_products.sql,"Active products that are low on stock: units in stock at or below the reorder level, with units on order and supplier.","Which products need to be reordered?|What items are running low on inventory?|Show low stock products"
q13_discontinued_products,queries/q13_discontinued_products.sql,"List of products that have been discontinued and are no longer sold, with category, price and remaining stock.","Which products are discontinued?|What products have we stopped selling?|List discontinued items"
q14_average_order_value,queries/q14_average_order_value.sql,"Average order value in dollars, average number of products and units per order, and average freight cost per order.","What is the average order value?|How much does a typical order cost?|How many items are in an average order?"
q15_monthly_sales_last_year,queries/q15_monthly_sales_last_year.sql,"Month-by-month orders and revenue for last year (the most recent complete calendar year in the data), showing seasonality.","What were monthly sales last year?|Show the monthly revenue trend for last year|Which month was best last year?"
q16_pending_orders,queries/q16_pending_orders.sql,"Orders that have not been shipped yet (pending or open orders), with customer, order date, required date and destination.","Which orders are still pending?|What orders have not shipped yet?|Show open unshipped orders"
q17_most_expensive_products,queries/q17_most_expensive_products.sql,"The 10 most expensive products by list unit price, with category and supplier.","What are the most expensive products?|Which product has the highest price?|Show premium high-priced items"
q18_customers_by_country,queries/q18_customers_by_country.sql,"Number of customers located in each country (customer base distribution).","How many customers do we have in each country?|Which country has the most customers?|Where are our customers located?"
q19_discount_summary,queries/q19_discount_summary.sql,"Impact of discounts: gross revenue before discounts, total discount amount given away, net revenue and the percentage of order lines that were discounted.","How much money did we give away in discounts?|What is the total discount given?|How often do we offer discounts?"
q20_suppliers_by_country,queries/q20_suppliers_by_country.sql,"Number of suppliers (vendors) and products supplied per supplier country.","Which countries are our suppliers from?|How many suppliers do we have per country?|Where do our products come from?"
q21_database_overview,queries/q21_database_overview.sql,"Database overview and schema size: every table in the Northwind database with its number of rows (records) and number of columns (fields), plus the totals.","How many rows and columns are in the database?|How many tables are there and how big is each one?|Show the database structure with record counts"
